continentName,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_zipCode,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,updateTime,cityName,cityEnglishName,city_zipCode,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount
非洲,Africa,刚果（金）,Democratic Republic of the Congo,刚果（金）,Democratic Republic of the Congo,0,58115,0,30858,1104,2021-11-27 17:53:24,,,,,,,
亚洲,Asia,阿富汗,Afghanistan,阿富汗,Afghanistan,955001,157144,0,124733,7365,2021-11-27 17:53:24,,,,,,,
大洋洲,Oceania,法属波利尼西亚,French Polynesia,法属波利尼西亚,French Polynesia,0,45609,0,21469,636,2021-11-27 17:53:24,,,,,,,
南美洲,South America,苏里南,Suriname,苏里南,Suriname,973010,50629,0,26909,1158,2021-11-27 17:53:24,,,,,,,
亚洲,Asia,乌兹别克斯坦,Uzbekistan,乌兹别克斯坦,Uzbekistan,954005,192381,0,168875,1392,2021-11-27 17:53:24,,,,,,,
亚洲,Asia,叙利亚,Syria,叙利亚,Syria,955017,47558,0,23599,2719,2021-11-27 17:53:24,,,,,,,
非洲,Africa,博茨瓦纳,Botswana,博茨瓦纳,Botswana,984002,194909,0,171434,2416,2021-11-27 17:53:24,,,,,,,
非洲,Africa,马约特,,马约特,,0,20938,0,0,185,2021-11-27 17:53:24,,,,,,,
欧洲,Europe,爱沙尼亚,Estonia,爱沙尼亚,Estonia,964002,220514,0,198092,1781,2021-11-27 17:53:24,,,,,,,
非洲,Africa,布隆迪共和国,,布隆迪共和国,,0,20386,0,4,38,2021-11-27 17:53:24,,,,,,,
非洲,Africa,南非,South Africa,南非,South Africa,984011,2952500,0,2843961,89771,2021-11-27 17:53:24,,,,,,,
北美洲,North America,巴巴多斯,Barbados,巴巴多斯,Barbados,974003,24432,0,6819,215,2021-11-27 17:53:24,,,,,,,
非洲,Africa,突尼斯,Tunisia,突尼斯,Tunisia,981006,716702,0,673990,25356,2021-11-27 17:53:24,,,,,,,
亚洲,Asia,菲律宾,Philippines,菲律宾,Philippines,952008,2829618,0,2764517,47875,2021-11-27 17:53:24,,,,,,,
非洲,Africa,埃塞俄比亚,Ethiopia,埃塞俄比亚,Ethiopia,985004,370886,0,347873,6714,2021-11-27 17:53:24,,,,,,,
北美洲,North America,萨尔瓦多,El Salvador,萨尔瓦多,El Salvador,972003,118041,0,98091,3764,2021-11-27 17:53:24,,,,,,,
亚洲,Asia,新加坡,Singapore,新加坡,Singapore,952009,258785,0,242132,681,2021-11-27 17:53:24,,,,,,,
亚洲,Asia,柬埔寨,Kampuchea (Cambodia ),柬埔寨,Kampuchea (Cambodia ),952003,120009,0,102827,2918,2021-11-27 17:53:24,,,,,,,
亚洲,Asia,巴基斯坦,Pakistan,巴基斯坦,Pakistan,953006,1283223,0,1241289,28690,2021-11-27 17:53:24,,,,,,,
欧洲,Europe,拉脱维亚,Latvia,拉脱维亚,Latvia,964003,250132,0,233119,4083,2021-11-27 17:53:24,,,,,,,
北美洲,North America,库拉索岛,,库拉索岛,,0,17362,0,4438,178,2021-11-27 17:53:24,,,,,,,
北美洲,North America,尼加拉瓜,Nicaragua,尼加拉瓜,Nicaragua,972006,17152,0,4694,212,2021-11-27 17:53:24,,,,,,,
大洋洲,Oceania,新喀里多尼亚,,新喀里多尼亚,,0,12033,0,58,276,2021-11-27 17:53:24,,,,,,,
北美洲,North America,伯利兹,Belize,伯利兹,Belize,972001,29967,0,17956,569,2021-11-27 17:53:24,,,,,,,
北美洲,North America,特立尼达和多巴哥,Trinidad and Tobago,特立尼达和多巴哥,Trinidad and Tobago,974013,67664,0,54285,2009,2021-11-27 17:53:24,,,,,,,
亚洲,Asia,尼泊尔,Nepal,尼泊尔,Nepal,953005,820527,0,798916,11518,2021-11-27 17:53:24,,,,,,,
欧洲,Europe,北马其顿,North Macedonia,北马其顿,North Macedonia,0,213779,0,196249,7492,2021-11-27 17:53:24,,,,,,,
亚洲,Asia,文莱,Brunei,文莱,Brunei,952002,14840,0,4722,97,2021-11-27 17:53:24,,,,,,,
非洲,Africa,加蓬,Gabon,加蓬,Gabon,983004,37223,0,27048,276,2021-11-27 17:53:24,,,,,,,
欧洲,Europe,白俄罗斯,Belarus,白俄罗斯,Belarus,964001,646743,0,632470,5010,2021-11-27 17:53:24,,,,,,,
亚洲,Asia,印度尼西亚,Indonesia,印度尼西亚,Indonesia,952005,4255268,0,4102993,143796,2021-11-27 17:53:24,,,,,,,
欧洲,Europe,阿尔巴尼亚,Albania,阿尔巴尼亚,Albania,965001,198292,0,186909,3068,2021-11-27 17:53:24,,,,,,,
欧洲,Europe,黑山,,黑山,,965018,156003,0,145544,2268,2021-11-27 17:53:24,,,,,,,
欧洲,Europe,摩尔多瓦,Moldova,摩尔多瓦,Moldova,964005,361116,0,344414,8985,2021-11-27 17:53:24,,,,,,,
亚洲,Asia,也门共和国,,也门共和国,,0,9977,0,350,1943,2021-11-27 17:53:24,,,,,,,
非洲,Africa,卢旺达,Republic of Rwanda,卢旺达,Republic of Rwanda,985006,100303,0,91490,1341,2021-11-27 17:53:24,,,,,,,
亚洲,Asia,缅甸,Burma,缅甸,Burma,952001,520213,0,494107,19058,2021-11-27 17:53:24,,,,,,,
非洲,Africa,苏丹,Sudan,苏丹,Sudan,981005,42056,0,32054,3114,2021-11-27 17:53:24,,,,,,,
亚洲,Asia,吉尔吉斯斯坦,,吉尔吉斯斯坦,,954002,183140,0,173796,2737,2021-11-27 17:53:24,,,,,,,
亚洲,Asia,以色列,Israel,以色列,Israel,955009,1341297,0,1326518,8182,2021-11-27 17:53:24,,,,,,,
北美洲,North America,开曼群岛,Cayman Is,开曼群岛,Cayman Is,0,6459,0,781,4,2021-11-27 17:53:24,,,,,,,
北美洲,North America,圣文森特和格林纳丁斯,Saint Vincent and the Grenadines,圣文森特和格林纳丁斯,Saint Vincent and the Grenadines,974012,5446,0,147,74,2021-11-27 17:53:24,,,,,,,
